Date,Td,Tm,Ty,"Qmax,m","Qmean,m","Qmin,m","Qmax,y","Qmean,y","Qmin,y",Q
29.07.2011,29,7,2011,51.7,20.67,24,476,68.57,9.37,27.2
30.07.2011,30,7,2011,51.7,20.67,24,476,68.57,9.37,24.5
31.07.2011,31,7,2011,51.7,20.67,24,476,68.57,9.37,24
1.08.2011,1,8,2011,22.4,11.03,9.37,476,68.57,9.37,22.4
2.08.2011,2,8,2011,22.4,11.03,9.37,476,68.57,9.37,21.9
3.08.2011,3,8,2011,22.4,11.03,9.37,476,68.57,9.37,21.4
4.08.2011,4,8,2011,22.4,11.03,9.37,476,68.57,9.37,20.5
5.08.2011,5,8,2011,22.4,11.03,9.37,476,68.57,9.37,20.1
6.08.2011,6,8,2011,22.4,11.03,9.37,476,68.57,9.37,19.2
7.08.2011,7,8,2011,22.4,11.03,9.37,476,68.57,9.37,20.1
8.08.2011,8,8,2011,22.4,11.03,9.37,476,68.57,9.37,18.8
9.08.2011,9,8,2011,22.4,11.03,9.37,476,68.57,9.37,18.8
10.08.2011,10,8,2011,22.4,11.03,9.37,476,68.57,9.37,18.8
11.08.2011,11,8,2011,22.4,11.03,9.37,476,68.57,9.37,17.9
12.08.2011,12,8,2011,22.4,11.03,9.37,476,68.57,9.37,19.2
13.08.2011,13,8,2011,22.4,11.03,9.37,476,68.57,9.37,18.8
14.08.2011,14,8,2011,22.4,11.03,9.37,476,68.57,9.37,18.8
15.08.2011,15,8,2011,22.4,11.03,9.37,476,68.57,9.37,19.2
16.08.2011,16,8,2011,22.4,11.03,9.37,476,68.57,9.37,17.9
17.08.2011,17,8,2011,22.4,11.03,9.37,476,68.57,9.37,19.6
18.08.2011,18,8,2011,22.4,11.03,9.37,476,68.57,9.37,18.8
19.08.2011,19,8,2011,22.4,11.03,9.37,476,68.57,9.37,19.2
20.08.2011,20,8,2011,22.4,11.03,9.37,476,68.57,9.37,19.6
21.08.2011,21,8,2011,22.4,11.03,9.37,476,68.57,9.37,19.2
